   List of levels:

     Level   Energy             Jpi    K
   1719      11-        9-   633.30(20)      11.0(6)      6.16e-03   0.00  E2
   2457      13-       11-   677.7(4)        1.5(10)      5.20e-03   0.00  E2
   2457      13-       11-   738.4(3)        9.5(5)       4.23e-03   0.00  E2
   3304      15-       13-   846.6(4)        1.1(10)      3.09e-03   0.00  E2
   3304      15-       13-   923.7(5)        0.6(10)      2.55e-03   0.00  E2
    705       6-        6-   120.7(3)        0.5(10)      7.71e-01   0.00  M1
    705       6-        5-   305.3(3)        2.5(10)      6.08e-02   0.00  M1
    705       6-        7-   412.9(3)        1.5(10)      2.77e-02   0.00  M1
    882       8-        7-   130.60(20)      11.5(6)      6.16e-01   0.00  M1
    882       8-        8-   332.1(5)        1.0(10)      4.90e-02   0.00  M1
    882       8-        6-   364.5(3)        1.3(10)      2.79e-02   0.00  E2
    882       8-        6-   814.6(4)        1.0(10)      3.38e-03   0.00  E2
   1386      10-        9-   253.4(4)        2.40(19)     9.92e-02   0.00  M1
   1386      10-        9-   300.80(20)      6.0(3)       6.28e-02   0.00  M1
   1386      10-        8-   504.70(20)      3.8(4)       1.11e-02   0.00  E2
   2101      12-       11-   382.5(3)        4.3(4)       3.36e-02   0.00  M1
   2101      12-       10-   633.7(3)        2.0(4)       6.13e-03   0.00  E2
   2101      12-       10-   714.8(3)        6.0(3)       4.56e-03   0.00  E2
   2844      14-       13-   386.5(4)        2.1(10)      3.28e-02   0.00  M1
   2844      14-       13-   463.6(4)        0.3(10)      2.07e-02   0.00  M1
   2844      14-       12-   742.3(3)        5.0(3)       4.17e-03   0.00  E2
   2844      14-       12-   797.6(4)        0.7(10)      3.54e-03   0.00  E2
   2844      14-       13+   1154.0(5)       1.3(10)      6.86e-04   0.00  E1
   3252      15-       13-   795.2(3)        0.5(10)      3.56e-03   0.00  E2
   3252      15-       13-   872.2(3)        3.50(19)     2.89e-03   0.00  E2
   3252      15-       14+   1167.4(5)       2.20(22)     6.72e-04   0.00  E1
   3861      17-       16-   316.50(20)      3.55(21)     5.50e-02   0.00  M1
   3861      17-       15-   608.9(4)        1.0(10)      6.78e-03   0.00  E2
   4634      19-       18-   432.70(20)      3.00(19)     2.46e-02   0.00  M1
   5533      21-       20-   474.4(3)        1.5(10)      1.95e-02   0.00  M1
   5533      21-       19-   899.3(6)        0.4(10)      2.70e-03   0.00  E2
   5533      21-       19-   1026.5(4)       0.9(10)      2.03e-03   0.00  E2
    907       8-        7-   109.3(3)        0.4(10)      1.01e+00   0.00  M1
    907       8-        7-   224.70(20)      2.6(4)       1.36e-01   0.00  M1
    907       8-        6-   389.4(4)        2.2(3)       2.30e-02   0.00  E2
   1468      10-        9-   187.3(3)        0.3(10)      2.26e-01   0.00  M1
   1468      10-        9-   334.8(3)        1.00(17)     4.78e-02   0.00  M1
   1468      10-        9-   382.1(3)        0.7(10)      3.39e-02   0.00  M1
   1468      10-        8-   561.4(3)        2.5(4)       8.36e-03   0.00  E2
   2158      12-       11-   378.5(3)        1.10(18)     3.46e-02   0.00  M1
   2158      12-       10-   690.00(20)      1.9(3)       5.00e-03   0.00  E2
   2158      12-       10-   771.4(3)        1.40(25)     3.82e-03   0.00  E2
    247       4-        3-   131.30(20)      13.0(6)      6.07e-01   0.00  M1
    517       6-        5-   117.90(20)      10.0(10)     8.22e-01   0.00  M1
    517       6-        7-   225.0(6)        1.50(14)     1.37e-01   0.00  M1
    517       6-        4-   270.3(3)        1.0(10)      7.07e-02   0.00  E2
   1306      10+        9+   133.90(20)      1.70(12)     5.63e-01   0.00  M1
   1306      10+       11+   339.20(20)      6.0(3)       4.60e-02   0.00  M1
   1306      10+        8+   540.70(20)      0.90(14)     9.19e-03   0.00  E2
   1306      10+       10+   626.6(3)        1.50(22)     9.83e-03   0.00  M1
   1306      10+        8+   892.0(5)        0.4(10)      2.74e-03   0.00  E2
   1784      12+       11+   267.20(20)      1.65(12)     8.59e-02   0.00  M1
   1784      12+       11+   479.5(4)        0.60(23)     1.89e-02   0.00  M1
   1784      12+       10+   646.0(4)        0.20(24)     5.86e-03   0.00  E2
   1784      12+       11+   816.80(20)      4.7(4)       5.16e-03   0.00  M1
   2392      14+       13+   358.10(20)      3.00(24)     3.98e-02   0.00  M1
   2392      14+       13+   702.1(3)        6.1(3)       7.44e-03   0.00  M1
   2392      14+       12+   804.6(3)        2.10(22)     3.46e-03   0.00  E2
   3276      16+       15+   445.10(20)      3.5(3)       2.28e-02   0.00  M1
   3276      16+       14+   884.3(3)        1.80(23)     2.80e-03   0.00  E2
   3276      16+       14+   1028.2(5)       2.3(10)      2.02e-03   0.00  E2
   4233      18+       17+   511.2(3)        1.80(16)     1.62e-02   0.00  M1
   4233      18+       17+   744.2(7)        0.9(10)      6.49e-03   0.00  M1
   4233      18+       16+   956.8(4)        0.7(10)      2.36e-03   0.00  E2
   4598      19-       18-   396.90(20)      3.50(20)     3.05e-02   0.00  M1
   4598      19-       17-   737.00(20)      2.0(10)      4.26e-03   0.00  E2
   4598      19-       17-   861.5(5)        1.2(10)      2.97e-03   0.00  E2
   5459      21-       19-   825.3(4)        1.0(10)      3.28e-03   0.00  E2
   5459      21-       19-   860.9(3)        4.5(10)      2.98e-03   0.00  E2
