   List of levels:

     Level   Energy             Jpi    K
   5091    31/2-     29/2-   531.80(20)      0.29(5)      4.46e-03   0.00  M1
   5298    33/2-     31/2-   534.20(20)      0.85(24)     4.42e-03   0.00  M1
   3277    21/2+     21/2+   540.50(20)      1.95(12)     4.32e-03   0.00  M1
   6204    37/2+     35/2+   541.2(4)        0.98(12)     4.18e-03   0.00  M1
   3940    27/2+     23/2+   542.7(4)        0.68(12)     4.53e-03   0.00  E2
   4211    27/2-     25/2-   542.8(10)       0.49(24)     4.26e-03   0.00  M1
   6747    39/2+     37/2+   543.00(20)      0.61(10)     4.32e-03   0.00  M1
   3416    23/2-     19/2-   545.40(20)      0.22(5)      4.47e-03   0.00  E2
   7114    39/2+     37/2+   545.90(10)      0.122(24)    4.19e-03   0.00  M1
    847     7/2-      3/2-   552.4(10)       0.61(24)     4.30e-03   0.00  E2
   4660    29/2-     27/2-   553.8(10)       0.10(24)     4.06e-03   0.00  M1
   2906    19/2-     17/2-   562.20(20)      1.95(12)     3.92e-03   0.00  M1
    919     9/2-      5/2-   562.30(20)      97.6(5)      4.09e-03   0.00  E2
    657    11/2+      9/2+   563.90(20)      26.8(12)     3.88e-03   0.00  M1
   6142    35/2-     33/2-   566.20(20)      0.15(5)      3.85e-03   0.00  M1
   2418    17/2+     15/2+   567.3(4)        1.51(10)     3.83e-03   0.00  M1
   2284    17/2+     17/2+   567.7(8)        1.95(22)     3.82e-03   0.00  M1
   4764    31/2-     29/2-   568.2(10)       2.68(24)     3.82e-03   0.00  M1
   3274    23/2-     19/2-   574.1(10)       0.85(24)     3.86e-03   0.00  E2
   3328    25/2-     21/2-   576.1(10)       2.44(24)     3.82e-03   0.00  E2
   3487    23/2+     19/2+   577.7(6)        0.20(10)     3.80e-03   0.00  E2
   2219    15/2-     13/2-   583.1(10)       5.12(24)     3.59e-03   0.00  M1
   2228    13/2-     13/2-   591.6(10)       0.12(24)     3.47e-03   0.00  M1
   5685    33/2-     31/2-   593.60(20)      0.34(5)      3.44e-03   0.00  M1
   4211    27/2-     25/2-   595.5(10)       0.24(24)     3.42e-03   0.00  M1
   2882    19/2+     17/2+   598.1(10)       0.73(24)     3.38e-03   0.00  M1
   7188    39/2-     37/2-   600.1(4)        0.073(24)    3.36e-03   0.00  M1
   3487    23/2+     19/2+   605.40(20)      4.39(12)     3.33e-03   0.00  E2
   3940    27/2+     25/2-   610.8(10)       0.73(24)     1.13e-03   0.00  E1
   7358    41/2+     39/2+   611.1(4)        0.37(10)     3.15e-03   0.00  M1
   3488    23/2-     19/2-   616.5(10)       0.17(24)     3.17e-03   0.00  E2
    657    11/2+      7/2+   617.20(20)      2.4(5)       3.16e-03   0.00  E2
   4485    27/2+     25/2+   617.5(10)       0.68(24)     3.14e-03   0.00  M1
   3631    25/2+     23/2-   618.1(10)       1.22(24)     1.10e-03   0.00  E1
   5925    35/2-     33/2-   626.7(3)        0.49(10)     3.04e-03   0.00  M1
   3151    21/2+     19/2+   627.2(4)        0.61(12)     3.03e-03   0.00  M1
   7994    43/2+     41/2+   635.3(6)        0.073(24)    2.94e-03   0.00  M1
   3886    25/2-     21/2-   636.1(5)        0.61(24)     2.91e-03   0.00  E2
   2228    13/2-     11/2-   642.3(10)       0.49(24)     2.86e-03   0.00  M1
   1999    15/2+     13/2+   650.3(9)        1.95(20)     2.78e-03   0.00  M1
   3397    23/2+     21/2+   658.70(20)      12.2(5)      2.69e-03   0.00  M1
   6588    37/2-     35/2-   662.5(5)        0.098(24)    2.66e-03   0.00  M1
   3416    23/2-     21/2-   664.40(20)      0.037(12)    2.65e-03   0.00  M1
